simulation_id,generate_network_from_file,nodes_filename,channels_filename,edges_filename,n_additional_nodes,n_channels_per_node,capacity_per_channel,faulty_node_probability,generate_payments_from_file,payment_timeout,average_payment_forward_interval,variance_payment_forward_interval,routing_method,group_size,group_limit_rate,group_cap_update,group_broadcast_delay,payments_filename,payment_rate,n_payments,average_payment_amount,variance_payment_amount,average_max_fee_limit,variance_max_fee_limit,mpp,seed,request_amt_rate,simulation_time,success_rate,fail_no_path_rate,fail_timeout_rate,fail_no_alternative_path_rate,retry_rate,retry_no_balance_rate,time/average,time/variance,time/max,time/min,time/5-percentile,time/25-percentile,time/50-percentile,time/75-percentile,time/95-percentile,time_success/average,time_success/variance,time_success/max,time_success/min,time_success/5-percentile,time_success/25-percentile,time_success/50-percentile,time_success/75-percentile,time_success/95-percentile,time_fail/average,time_fail/variance,time_fail/max,time_fail/min,time_fail/5-percentile,time_fail/25-percentile,time_fail/50-percentile,time_fail/75-percentile,time_fail/95-percentile,retry/average,retry/variance,retry/max,retry/min,retry/5-percentile,retry/25-percentile,retry/50-percentile,retry/75-percentile,retry/95-percentile,fee/average,fee/variance,fee/max,fee/min,fee/5-percentile,fee/25-percentile,fee/50-percentile,fee/75-percentile,fee/95-percentile,fee_per_satoshi/average,fee_per_satoshi/variance,fee_per_satoshi/max,fee_per_satoshi/min,fee_per_satoshi/5-percentile,fee_per_satoshi/25-percentile,fee_per_satoshi/50-percentile,fee_per_satoshi/75-percentile,fee_per_satoshi/95-percentile,route_len/average,route_len/variance,route_len/max,route_len/min,route_len/5-percentile,route_len/25-percentile,route_len/50-percentile,route_len/75-percentile,route_len/95-percentile,group_cover_rate,total_locked_balance_duration/average,total_locked_balance_duration/variance,total_locked_balance_duration/max,total_locked_balance_duration/min,total_locked_balance_duration/5-percentile,total_locked_balance_duration/25-percentile,total_locked_balance_duration/50-percentile,total_locked_balance_duration/75-percentile,total_locked_balance_duration/95-percentile,group_survival_time/average,group_survival_time/var,group_survival_time/max,group_survival_time/min,group_survival_time/5-percentile,group_survival_time/25-percentile,group_survival_time/50-percentile,group_survival_time/75-percentile,group_survival_time/95-percentile,group_capacity/average,group_capacity/var,group_capacity/max,group_capacity/min,group_capacity/5-percentile,group_capacity/25-percentile,group_capacity/50-percentile,group_capacity/75-percentile,group_capacity/95-percentile,cul/average,cul/var,cul/max,cul/min,cul/5-percentile,cul/25-percentile,cul/50-percentile,cul/75-percentile,cul/95-percentile
routing_method=group_routing/average_payment_amount=15849/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,15849,1584,,,0,1,15849,4934877,0.689,0.3036,0.0,0.0074,0.026858699883223043,0.026858699883223043,453.8082,106213.70381276,1602,0,0.0,0.0,601.0,605.0,805.0,653.2264150943396,23318.60998439083,1602,200,401.0,601.0,603.0,802.0,806.0,12.010289389067523,6574.375456829439,1003,0,0.0,0.0,0.0,0.0,0.0,0.028737300435413643,0.03313643171462816,3,0,0.0,0.0,0.0,0.0,0.0,8619.711175616836,74821467561.54823,16027678,0,15.0,38.0,1033.0,2114.0,17122.199999999997,0.0005410978128724193,0.0002912626103321163,1.0001288562253439,0.0,9.969313448785292e-07,2.131251101007649e-06,6.736891850318875e-05,0.00014401684571009466,0.0010619656801494522,3.2177068214804065,0.48264728124519446,6,1,2.0,3.0,3.0,4.0,4.0,0.9881143907804446,7547373129.501305,8.737952404435876e+19,278892785643,1022116800,1436614895.6,1784066800.0,5178415500.0,9170685437.0,20561923991.999966,-1.183195785965224e+18,7.249889547942375e+36,4729155,-7310575239085056275,-7.310575239084546e+18,0.0,603.0,473178.5,1846421.4499999997,1685081449.7906737,1.3065523736473876e+19,45346707225,9335,3121147.0,38779463.0,246761415.0,979950047.0,9498742418.0,0.047609847981392256,0.0012384771224591964,0.1459,4.7e-05,0.0011009,0.0142025,0.046018,0.075559,0.106955
routing_method=group_routing/average_payment_amount=3981/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,3981,398,,,0,1,3981,4934875,0.8342,0.1594,0.0,0.0064,0.015554242961212838,0.015554242961212838,541.5888,74020.76651456,1808,0,0.0,402.0,602.0,801.0,805.0,645.5722848237833,21652.202578788216,1808,200,401.0,601.0,603.0,802.0,805.0,18.410132689987936,9388.167134964297,803,0,0.0,0.0,0.0,0.0,0.0,0.011268280987772716,0.011141306831353316,1,0,0.0,0.0,0.0,0.0,0.0,3038.134020618557,4084849844.351973,4027393,0,4.0,10.0,1007.0,1902.5,4891.5,0.0007603332990913803,0.0002509442395065849,1.0005010712042801,0.0,9.328863144440955e-07,2.4514045813255117e-06,0.00024934941264606413,0.0004423600826275886,0.001233336246141536,3.19899304723088,0.4854557110521145,6,1,2.0,3.0,3.0,4.0,4.0,0.9884427225268411,2015253504.4997218,8.988584845141054e+18,108652763895,268674039,361429126.2,447064100.0,1297590833.0,2370401442.0,5530736570.400001,-9.384431228946957e+17,5.979883562616466e+36,4801577,-7310575239085056580,-7.31057523908447e+18,0.0,0.0,396187.0,1611764.1999999979,1407938209.2661734,1.0605080244748919e+19,45346707225,1066,2865679.0,37818683.5,186661372.0,926483049.75,8901257563.0,0.046402309417040356,0.0012103291804691175,0.150271,8e-05,0.000875,0.011711,0.046331,0.072877,0.104811
routing_method=group_routing/average_payment_amount=100000/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,100000,10000,,,0,1,100000,4934072,0.3246,0.6738,0.0,0.0016,0.010684606252473288,0.010684606252473288,218.5086,107365.58352603998,1409,0,0.0,0.0,0.0,601.0,804.0,670.8157732593962,26696.984544796403,1409,200,401.0,601.0,603.0,803.0,1002.0,1.1279241930707729,558.0446362891897,602,0,0.0,0.0,0.0,0.0,0.0,0.028342575477510783,0.03370070334444517,2,0,0.0,0.0,0.0,0.0,0.0,61744.50215650031,3862111686749.3643,79186947,0,99.0,229.0,1301.0,4226.0,56603.599999999984,0.0007479167746240598,0.0006158832935410735,1.0000459440259057,0.0,1.002379635867967e-06,2.0181854358123743e-06,1.3646291989272927e-05,4.4329114834756086e-05,0.0005662845456301628,3.3086876155268024,0.571994765632207,6,1,2.0,3.0,3.0,4.0,5.0,0.984831073316479,42546804898.715485,1.376707083975046e+21,736379973923,6748067853,8870184660.5,11188597000.0,32670298297.0,56353702322.0,109194061179.0,-1.9775731895139566e+18,1.0546401872854201e+37,4801766,-7310575239085056275,-7.310575239084623e+18,-7.310575239080926e+18,0.0,495523.0,2087689.7999999996,2446761752.4186873,1.972094748358063e+19,45346707225,20968,4193026.0,69294887.0,364918225.0,2167570869.0,15191876649.0,0.038406354225704285,0.0013046907563004286,0.151327,4.7e-05,0.0005345000000000001,0.00471,0.027955,0.06780449999999999,0.10411229999999998
routing_method=group_routing/average_payment_amount=158/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,158,15,,,0,1,158,4934876,0.9884,0.0094,0.0,0.0022,0.004578936890304599,0.004578936890304599,632.767,23740.097910999997,1209,0,401.0,601.0,603.0,802.0,805.0,638.9348441926346,20100.51133545731,1209,200,401.0,601.0,603.0,802.0,805.0,107.22413793103448,54421.20838287753,805,0,0.0,0.0,0.0,0.0,602.3,0.0024281667341157424,0.002422270740427077,1,0,0.0,0.0,0.0,0.0,0.0,1344.2213678672601,165106621.0829266,600752,0,0.0,2.0,1000.0,1026.0,2043.0,0.008526096479546458,0.0059019668757827656,3.983951509685463,0.0,0.0,1.2732916510715953e-05,0.0057668551197008954,0.007095091266352243,0.014539997679914188,3.178874949413193,0.4892502113959403,6,1,2.0,3.0,3.0,4.0,4.0,0.9864727320484618,86398042.48683128,2.2447310365196596e+16,5288066142,10930018,14489540.0,18012057.25,51792127.0,97796515.75,239508769.99999967,-7.2036810701313e+17,4.7473750365562214e+36,4689730,-7310575239085056580,-7.310575239084282e+18,0.0,0.0,285047.0,1428925.0499999993,1152593849.379103,8.930779497506432e+18,45346707225,3281,1894279.0,19315773.0,96055444.0,601000906.5,7916482483.0,0.03927487052754202,0.0012237064189797421,0.151202,6.4e-05,0.0004632000000000001,0.004216,0.032922,0.068627,0.09936479999999998
routing_method=group_routing/average_payment_amount=631/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,631,63,,,0,1,631,4934872,0.9676,0.0288,0.0,0.0036,0.005964214711729622,0.005964214711729622,620.6638,30952.375169560004,1208,0,400.0,601.0,603.0,802.0,805.0,639.497312939231,20064.593109770194,1208,200,401.0,601.0,603.0,802.0,805.0,58.21604938271605,29166.910112787682,803,0,0.0,0.0,0.0,0.0,601.0,0.0024803637866887144,0.002474211582174397,1,0,0.0,0.0,0.0,0.0,0.0,1563.9408846630838,250367668.9134132,640027,0,0.0,2.0,1000.0,1071.75,2256.399999999994,0.0024801006588244376,0.0005766752990388586,1.0031393803367898,0.0,0.0,3.2833188128832017e-06,0.0014538487711681797,0.0018602130281308933,0.0038513286309206675,3.181893344357172,0.48779120648319313,6,1,2.0,3.0,3.0,4.0,4.0,0.9863085661752635,339083065.3235355,3.3439078742927066e+17,17842616504,42191900,57416105.0,71889627.0,206395289.0,385711069.0,939117215.9499992,-7.737576363493243e+17,5.057912537540635e+36,4752094,-7310575239085056580,-7.310575239084337e+18,0.0,0.0,318871.0,1476754.5999999994,1246578386.7874126,9.646420595522138e+18,45346707225,1005,2260587.8000000003,26265774.0,116376058.0,767695799.0,8453866084.0,0.04314840479360852,0.0012362741889892712,0.147894,6.4e-05,0.0006363499999999999,0.0064675,0.0412555,0.07100050000000001,0.10305054999999999
routing_method=group_routing/average_payment_amount=63/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,63,6,,,0,1,63,4934874,0.992,0.0066,0.0,0.0014,0.002792181890706023,0.002792181890706023,634.1902,22586.61802396,1605,0,401.0,601.0,603.0,802.0,805.0,638.5764112903225,20023.778032282455,1605,200,401.0,601.0,603.0,802.0,805.0,90.3,42176.61,802,0,0.0,0.0,0.0,0.0,601.15,0.001411290322580645,0.0014092985822060354,1,0,0.0,0.0,0.0,0.0,0.0,1315.2872983870968,160598137.5813709,600662,0,0.0,2.0,1000.0,1013.0,2032.1500000000005,0.020964034221759836,0.03608949894036297,9.99154981120149,0.0,0.0,3.1121991105213025e-05,0.014351668434591375,0.017455532113460643,0.035889926660964196,3.1784274193548385,0.48973623666753374,6,1,2.0,3.0,3.0,4.0,4.0,0.9872935614144531,34862461.59285935,3933957815119315.5,2822771116,4308700,5777805.4,7194715.5,20806625.0,39450914.5,96514878.70000005,-7.028451697113661e+17,4.6442111620169576e+36,4728595,-7310575239085056580,-7.310575239084258e+18,0.0,0.0,272677.0,1397138.799999999,1116343178.1170375,8.546342161795768e+18,45346707225,4004,1638824.0,18140475.0,94547825.0,549650787.0,7706988998.0,0.037338685400731625,0.0012402989381474524,0.151957,6.4e-05,0.00039065000000000004,0.00279625,0.029317000000000003,0.06615,0.09974679999999968
routing_method=group_routing/average_payment_amount=10/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,10,1,,,0,1,10,4934874,0.9948,0.0052,0.0,0.0,0.0007993605115907274,0.0007993605115907274,634.9796,21870.09038384,1204,0,401.0,601.0,603.0,802.0,805.0,638.2987535182951,19865.797758800123,1204,200,401.0,601.0,603.0,802.0,805.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0008041817450743868,0.0008035350367952762,1,0,0.0,0.0,0.0,0.0,0.0,1291.3080016083634,158994146.843213,600611,0,0.0,2.0,1000.0,1007.0,2010.0,0.12951735308655593,1.409639607321859,63.09601848933711,0.0,0.0,0.0001890046545561147,0.08978300376865075,0.10929066320150968,0.22606577658094038,3.178528347406514,0.4916499452157249,6,1,2.0,3.0,3.0,4.0,4.0,0.9874577272876515,6035761.769848625,162613514043444.44,523067699,668100,912434.0,1146979.0,3449460.0,6726679.5,16984390.5,-6.845246109987195e+17,4.535694728649704e+36,4706148,-7310575239085056580,-7.31057523908421e+18,0.0,0.0,258741.0,1371052.2,1082467042.3716843,8.371231194976525e+18,45346707225,16708,1440737.0,17166205.0,91817076.0,498316080.0,7305465566.0,0.03288469675810474,0.001141873091515692,0.150828,4e-05,0.0003447,0.0017720000000000001,0.020148,0.0616125,0.09212200000000001
routing_method=group_routing/average_payment_amount=16/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,16,1,,,0,1,16,4934876,0.9942,0.0052,0.0,0.0006,0.001597444089456869,0.001597444089456869,634.9166,21906.89324444,1207,0,401.0,601.0,603.0,802.0,805.0,638.2967209816939,19903.60397033836,1207,200,401.0,601.0,603.0,802.0,805.0,55.51724137931034,27636.249702734847,604,0,0.0,0.0,0.0,0.0,522.9999999999995,0.0010058338362502514,0.0010048221345441057,1,0,0.0,0.0,0.0,0.0,0.0,1295.21726010863,159153220.41990724,600617,0,0.0,2.0,1000.0,1009.0,2015.0,0.08085762077475728,0.5684465833562273,38.70204265738772,0.0,0.0,0.0001211643898970164,0.05830275496534452,0.06658787103774677,0.1354980947573459,3.1782337557835447,0.4916686566839226,6,1,2.0,3.0,3.0,4.0,4.0,0.9876218931608497,9305683.57664985,325502051455796.8,822038763,1268100,1514558.0,1749800.0,5259300.0,10507990.0,25817366.59999999,-6.868176257692017e+17,4.549313477649358e+36,4706144,-7310575239085056580,-7.310575239084226e+18,0.0,0.0,259864.0,1374796.6499999994,1072475277.9422463,8.253366190452908e+18,45346707225,9723,1452901.3000000007,16808129.0,91851087.5,497796957.0,7283259313.95,0.03411662317154255,0.001154125195642741,0.152911,4.4e-05,0.00038375,0.0020815,0.0225905,0.062691,0.09342700000000001
routing_method=group_routing/average_payment_amount=40/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,40,4,,,0,1,40,4934876,0.9934,0.0052,0.0,0.0014,0.002593257530420906,0.002593257530420906,634.9592,21883.52873536,1207,0,401.0,601.0,603.0,802.0,805.0,638.3686329776525,19878.664794245607,1207,200,401.0,601.0,603.0,802.0,805.0,121.78787878787878,58551.50045913683,801,0,0.0,0.0,0.0,0.0,604.4,0.0012079726192872962,0.0012065134214383486,1,0,0.0,0.0,0.0,0.0,0.0,1309.701832091806,159742461.9805543,600640,0,0.0,2.0,1000.0,1012.0,2023.0,0.03286658907968953,0.088615932757599,15.773937706812333,0.0,0.0,4.8278276552430656e-05,0.0224930499003117,0.027487545379773298,0.05687818360120276,3.178175961344876,0.4902988271008223,6,1,2.0,3.0,3.0,4.0,4.0,0.9871293955412549,22404987.00247244,1693747166592537.2,1965507985,2672500,3650524.0,4593643.5,13359300.0,25310923.0,62083200.699999936,-6.962392989421412e+17,4.605160617934015e+36,4728593,-7310575239085056580,-7.310575239084249e+18,0.0,0.0,269415.5,1390762.0,1096292910.928607,8.383556663981365e+18,45346707225,2926,1582125.0,17761759.0,94006456.5,522947871.0,7495199384.0,0.0365669564277399,0.0012146699766659877,0.1501,6.4e-05,0.000371,0.002454,0.028286,0.065382,0.09862219999999998
routing_method=group_routing/average_payment_amount=6310/,true,nodes_ln.csv,channels_ln.csv,edges_ln.csv,,,,0.0,false,-1,100,1,group_routing,10,0.1,true,0,,1,5000,6310,631,,,0,1,6310,4934872,0.7858,0.2092,0.0,0.005,0.013806706114398421,0.013806706114398421,509.7116,86037.26482544,1809,0,0.0,401.0,602.0,801.0,805.0,645.6892339017562,21663.211390835848,1809,200,401.0,601.0,603.0,802.0,805.0,10.873015873015873,5524.850354956797,802,0,0.0,0.0,0.0,0.0,0.0,0.011453296004072282,0.013358259526550459,3,0,0.0,0.0,0.0,0.0,0.0,4064.5128531432933,10579077648.59954,6382380,0,6.0,16.0,1012.0,2010.0,7260.0,0.0006422622827414585,0.0002594256619350485,1.0003173804592378,0.0,9.795454435960792e-07,2.288922140024485e-06,0.00015970267870107015,0.0002894544071298157,0.0011550046045679704,3.2000509035377958,0.48581318142511887,6,1,2.0,3.0,3.0,4.0,4.0,0.9899202153856257,3114659770.439272,1.8691364898065965e+19,149455607478,421587200,572585880.0,706488280.0,2056631815.0,3717773369.75,8568496896.8,-1.0145932106640472e+18,6.387860620500003e+36,4756986,-7310575239085056580,-7.310575239084489e+18,0.0,0.0,424280.25,1713548.25,1506013935.9498432,1.1613484174431056e+19,45346707225,1762,2960262.0,39333907.0,198327368.0,944634011.0,9187318679.25,0.04711334129353234,0.0012501741932775486,0.151963,8e-05,0.0009149,0.01223575,0.045979,0.07499225,0.10657105
