group_size(k),total_attacked,attack_succeeded,success_rate
2,87330,5621,0.06436505
3,115872,2936,0.025338305
4,135936,1608,0.011829096
5,99770,938,0.009401624
6,167388,816,0.0048749014
7,267232,1108,0.00414621
8,217248,633,0.0029137207
9,373509,1004,0.002688021
10,423750,888,0.0020955752
11,348700,607,0.0017407513
12,805884,1059,0.0013140849
13,714402,825,0.001154812
14,736750,688,9.3383103E-4
15,791940,668,8.434983E-4
16,679760,513,7.546781E-4
17,865113,635,7.3400815E-4
18,771498,436,5.6513434E-4
19,1044943,601,5.75151E-4
20,1012920,477,4.7091578E-4
